site_name,latitude,longitude,confidence,error_margin_m,state,town,bulletin_issue,pdf_page,location_basis,version_note
Titicut Site (M-40-3),41.934600,-70.999000,medium,200,MA,Bridgewater,"Vol. 43, No. 2 (1982)",3494,Taylor Farm map (1982) site 5 scaled from Pratt's Bridge; Beech St-to-river extent per 1967 contour map; MHC Bridgewater report: Contact/Historic village complex adjacent to Beach St with 26 burials,v2: revised in map pass
Seaver Farm Site,41.934600,-70.996800,medium,200,MA,Bridgewater,"Vol. 67, No. 2 (2006)",5649,Adjoins Titicut on its E boundary (2006 map); Taylor Farm map site 6,v2: revised in map pass
Fort Hill Bluff Site,41.932000,-70.989300,medium,250,MA,Middleborough,"Vol. 43, No. 2 (1982)",3494,Taylor Farm map site 8; MHC Middleborough report: native palisaded fort built on Fort Hill c.1660,v2: revised in map pass
Fort Hill Field Site,41.931400,-70.990600,medium,250,MA,Middleborough,"Vol. 43, No. 2 (1982)",3494,Taylor Farm map site 7,v2: revised in map pass
Trites Farm Site (19-PL-160),41.937200,-70.995000,medium,300,MA,Bridgewater,"Vol. 71, No. 2 (2010)",6023,1/4 mi NE of Titicut; across Vernon St from Kravitz Field,v2: revised in map pass
Rattlesnake Rock Shelter,41.633000,-71.663000,weak,1000,RI,West Greenwich,"Vol. 24, No. 1 (1962)",2025,"CORRECTED: Rattlesnake Ledge, Wickaboxet State Forest (not Bridgewater)",v2: revised in map pass
Plymouth Street Site (19-PL-540),41.991800,-70.942500,medium,600,MA,Bridgewater,"Vol. 49, No. 2 (1988)",4106,North Bridgewater base camp on main stem of Taunton River near Plymouth St (Rte 104) crossing,
Boats Site,41.816100,-71.115800,strong,300,MA,Dighton,"Vol. 16, No. 4 (1955)",1428,"Just N of Cobb's Wharf, W bank; mean of georeferenced 1955 map and 2017 topo marker D",v2: revised in map pass
Grassy Island Site,41.816600,-71.109300,strong,200,MA,Berkley/Dighton,"Vol. 16, No. 4 (1955)",1428,1955 map and 2017 topo marker F agree within ~200 m,v2: revised in map pass
Bear Swamp Site 1 (M39-72),41.831000,-71.106000,medium,500,MA,Berkley,"Vol. 30, Nos 3 & 4 (1969)",2548,"Text: 1/4 mi S of Berkley Bridge, 200 yds E of shore; 2017 marker G plots ~700 m further S (unresolved)",v2: revised in map pass
Bear Swamp Site 2 (M39-81),41.830300,-71.105500,medium,500,MA,Berkley,"Vol. 78, No. 2 (2017)",6650,Opposite side of the same swamp from Bear Swamp 1,v2: revised in map pass
Sweet's Knoll Site (M39-71),41.829300,-71.113300,strong,250,MA,Dighton,"Vol. 16, No. 4 (1955)",1428,1955 scaled map (checked against Dighton Rock) plus 2017 topo marker E,v2: revised in map pass
Back Porch Site (M39-SE50),41.827400,-71.116000,medium,250,MA,Dighton,"Vol. 44, No. 1 (1983)",3539,1000 ft SW of Sweet's Knoll; Taunton River 750 ft east,v2: revised in map pass
Segreganset River Site (M39-SE102),41.824700,-71.116000,medium,300,MA,Dighton,"Vol. 42, No. 2 (1981)",3420,1000 ft S of Back Porch on N bank of Segreganset; Bear Swamp ~1 km NE,v2: revised in map pass
Peace Haven 2 Shell Midden (M39-74),41.770361,-71.109778,strong,40,MA,Freetown,"Vol. 42, No. 1 (1981)",3399,"Coordinates published in the article (41 46 13.3 N, 71 06 35.2 W); gravel peninsula E bank Taunton River at Barnaby's Cove",
Barnaby's Cove Sites,41.773000,-71.108000,weak,700,MA,Freetown,"Vol. 42, No. 1 (1981)",3403,Group of sites near Barnaby's Cove a short distance from Peace Haven,
Wapanucket Site,41.849800,-70.910600,medium,400,MA,Middleborough,"Vol. 78, No. 2 (2017)",6658,2017 topo map marker H on N shore of Assawompset Pond,v2: revised in map pass
Middleborough Little League Site (19-PL-520),41.881400,-70.904800,strong,300,MA,Middleborough,"Vol. 72, No. 2 (2011)",6114,"2017 topo marker I plus 2011 terrace map: Rte 28 to W, Nemasket River to S, ballfields to N",v4: revised in figure pass
Beaver Brook Site,41.882500,-70.904000,weak,800,MA,Middleborough,"Vol. 70, No. 2 (2009)",5910,Same MHC number as Little League Site; near Beaver Pond,v2: revised in map pass
Nemasket Site (Pratt Farm),41.890500,-70.900500,weak,700,MA,Middleborough,"Vol. 50, No. 2 (1989)",4156,Town-owned Pratt Farm on the Nemasket River,
Indian Hill Site,41.905000,-70.870000,weak,2500,MA,Middleborough,"Vol. 22, No. 3 & 4 (1961)",1915,"On old Plymouth-Middleboro-Titicut trail, ~300 yds SW of historic Indian rock on Madigan farm",
Hawes Site,41.842000,-70.978000,weak,900,MA,Lakeville,"Vol. 23, Nos. 3 & 4 (1962)",1989,Gravel deposit on Rhode Island Road near Crooked Lane,
Lakeville Ceremonial Site (Late Woodland),41.813000,-70.992600,medium,400,MA,Lakeville,"Vol. 78, No. 2 (2017)",6658,2017 topo marker M: boulder circle on high ground between lower Taunton River and Wapanucket (Leonard 2010),v2: revised in map pass
Annasnappet Pond Site,41.919500,-70.793500,weak,800,MA,Carver,"Vol. 66, No. 1 (2005)",5521,Shore of Annasnappet Pond,
Swan Hold Site,41.876000,-70.761000,weak,1300,MA,Carver,"Vol. 13, No. 2 (1952)",1080,"Sandy terrace along South Meadow Brook (now cranberry bog), SE exposure",
Swan Hold II Site,41.876500,-70.760000,weak,1300,MA,Carver,"Vol. 25, No. 2 (1964)",2143,Adjacent to Swan Hold,
Carver Cremation Burial Site,41.883000,-70.763000,weak,3000,MA,Carver,"Vol. 32, Nos. 3 & 4 (1971)",2692,Town only,
Sabatia Plain Site No.1,41.942000,-71.105000,weak,1500,MA,Taunton,"Vol. 32, Nos. 3 & 4 (1971)",2719,Extensive plain near Lake Sabbatia,
Faulkner Spring Site,41.925000,-71.095000,weak,3000,MA,Taunton,"Vol. 3, No.1 (1941)",228,Town only,
Ford Site (M-39-5),41.965000,-71.143000,weak,700,MA,Norton,"Vol. 7, No. 2 (1946)",548,Shore of Winnecunnet Lake on Dr. Ford's land,
G.B. Crane Site,41.966000,-71.186000,weak,2500,MA,Norton,"Vol. 54, No. 2 (1993)",4542,Town only,
Canoe River West Site,41.990000,-71.170000,weak,2000,MA,Norton,"Vol. 44, No. 2 (1983)",3577,"Canoe River, Norton",
Morse Pond Site (19-BR-480),42.048000,-71.110000,weak,1200,MA,Easton,"Vol. 78, No. 1 (2017)",6594,"Shore of Morse Pond, an impoundment of Queset Brook",
Rubin Farm Site,41.936000,-71.190000,weak,1500,MA,Norton,"Vol. 66, No. 1 (2005)",5532,S Norton; Segreganset and Palmer headwater wetlands immediately S and W,v2: revised in map pass
