name,latitude,longitude,feature_type,category,town,state,name_note,source,error_margin_m
Hockanum River,41.783040,-72.587294,river,native-name,East Hartford,CT,Podunk Algonquian for 'hook-shaped',Wikipedia,1500
Pattagansett River,41.297500,-72.226400,river,native-name,East Lyme,CT,Native name,GeoNames,800
Pachaug River,41.605000,-71.980200,river,native-name,Griswold (Jewett City),CT,Native name,Wikipedia,1000
Pequot Hill,41.363710,-71.977851,hill,native-reference,Groton,CT,Named for the Pequot people; near the Mystic Massacre site,GeoNames,300
Mystic River,41.349720,-71.970280,river,native-name,Groton/Stonington,CT,"Pequot 'missi-tuk', a large tidal river",Wikipedia,1000
Attawaugan,41.867320,-71.881183,other,native-name,Killingly,CT,Native village name,GeoNames,300
Mohegan Hill,41.473709,-72.103689,hill,native-reference,Montville,CT,Named for the Mohegan people,GeoNames,300
Shunock River,41.408710,-71.843125,river,native-name,North Stonington,CT,Native name,GeoNames,800
Wyassup Lake,41.489058,-71.872496,lake,native-name,North Stonington,CT,Native name,GeoNames,400
Shetucket River,41.522220,-72.077780,river,native-name,Norwich,CT,Native name,Wikipedia,1500
Yantic River,41.521765,-72.078411,river,native-name,Norwich,CT,Native name,GeoNames,800
Wauregan,41.744300,-71.909200,other,native-name,Plainfield,CT,"Algonquian, often glossed 'handsome' / 'pleasant'",GeoNames,300
Indian Hill Avenue,41.598330,-72.623060,street,native-reference,Portland,CT,'Indian Hill' commemorates a local Native presence,Wikipedia,300
Poquetanuck,41.487220,-72.041940,other,native-name,Preston,CT,Native village name,Wikipedia,400
Quinebaug River,41.556100,-72.046100,river,native-name,Preston/Lisbon,CT,"'Long pond', from qunni- (long) + -paug (pond)",Wikipedia,1500
Scantic River,41.867800,-72.616500,river,native-name,South Windsor,CT,Native name,Wikipedia,1500
Wequetequock Cove,41.343433,-71.882292,other,native-name,Stonington,CT,Native name,GeoNames,500
Mashapaug Lake,42.016700,-72.133300,lake,native-name,Union,CT,Native name,Wikipedia,400
Niantic River,41.539440,-72.303330,river,native-name,Waterford/East Lyme,CT,Named for the Niantic people,Wikipedia,1000
Natchaug River,41.712780,-72.191670,river,native-name,Windham,CT,Nipmuc for 'land between rivers',Wikipedia,1500
Willimantic River,41.712780,-72.191670,river,native-name,Windham,CT,Likely 'place near the evergreen swamp',Wikipedia,1500
Nagog Pond,42.515050,-71.440370,pond,native-name,Acton/Littleton,MA,Kettle-hole pond on the Acton-Littleton line; Concord's water-supply source,Lake-Link map,400
Nashoba Brook,42.510093,-71.404506,brook,native-name,Acton/Littleton,MA,"Named for Nashoba, a 17th-century Praying Indian community in this area",anyplaceamerica.com,700
Acushnet River,41.680830,-70.917500,river,native-name,Acushnet/New Bedford,MA,"From 'as far as the waters', an early land-sale phrase",Wikipedia,1000
Mount Greylock,42.63726,-73.16599,mountain,native-reference,Adams,MA,"Long said to honor Abenaki leader Gray Lock, though the personal connection is unproven",Wikipedia,300
Ashuwillticook Rail Trail,42.639444,-73.111111,other,native-name,Adams/Cheshire/Lanesborough/Pittsfield,MA,"Algonquian, 'pleasant river between the hills', for the south branch Hoosic",Wikipedia,2000
Agawam,42.06944,-72.61528,other,native-name,Agawam,MA,Native village on the Connecticut R.; 'unloading place' or 'fish-curing place',Wikipedia,1500
Powwow River,42.840556,-70.924444,river,native-reference,Amesbury,MA,Named from Algonquian 'powwaw' (shaman/ceremony),Wikipedia (Powwow River),1000
Mount Norwottuck,42.305556,-72.51,mountain,native-name,Amherst/Granby,MA,Named for the Norwottuck people by geologist Edward Hitchcock,Wikipedia,400
Cochichawick,42.6575,-71.14083,other,native-name,Andover,MA,Massachusett name for the area before its 1646 purchase by English settlers,"Wikipedia (Andover, Massachusetts)",1500
Shawsheen River,42.67278,-71.1475,river,native-name,Andover,MA,Shawshin said to mean 'Great Spring',Wikipedia (Shawsheen River; Shawsheen Village),2000
Aquinnah,41.334440,-70.795830,other,native-name,Aquinnah,MA,Wampanoag 'land under the hill'; formerly Gay Head,Wikipedia,1000
Pequoiag,42.59583,-72.22722,other,native-name,Athol,MA,Native American name for the area before English settlement in 1735,"Wikipedia: Athol, Massachusetts",3000
Pakachoag Hill,42.2,-71.833,hill,native-name,Auburn,MA,Nipmuc 'at the turning place'/'bare mountain place'; site of a Nipmuc village and Goddard's 1926 rocket launch,"Wikipedia: Nipmuc / Auburn, Massachusetts",2500
Nonacoicus Brook,42.562035,-71.610346,brook,native-name,Ayer,MA,Algonquian-origin brook name; specific meaning not documented in sources found,USGS water data,600
Cotuit,41.616670,-70.436940,other,native-name,Barnstable,MA,Wampanoag 'place of the council',Wikipedia,300
Wequaquet Lake,41.671778,-70.344781,lake,native-name,Barnstable,MA,Wampanoag name; largest freshwater body in Barnstable,APCC pond list,400
Yokum Pond,42.307924,-73.125037,pond,native-name,Becket,MA,Named for the Yokun/Yokum Mohican family associated with the area,Berkshires Outside,300
Sachem Street,42.544207,-71.231060,street,native-reference,Billerica,MA,Street named for a Native American sachem (chief),Redfin listing metadata,100
Shawsheen River,42.568149,-71.214779,river,native-name,Billerica/Tewksbury,MA,Reputed to mean 'Great Spring',USGS water data (gauge near Wilmington line),2000
Nonantum Street,42.34998,-71.173898,street,native-reference,Boston (Brighton),MA,"Named for Nonantum, Waban's praying-Indian village near Newton",Redfin listing geo data,100
Mishawum,42.37528,-71.06444,other,native-name,Boston (Charlestown),MA,Massachusett name for the Charlestown peninsula,"Wikipedia (Charlestown, Boston)",800
Neponset River,42.3,-71.041944,river,native-name,Boston/Quincy,MA,Algonquian name for the river; runs from Foxborough to Dorchester Bay,Wikipedia (Neponset River),2000
Sagamore,41.784170,-70.533330,other,native-name,Bourne,MA,'Sagamore' = Algonquian term for a chief/leader,Wikipedia,300
Cochato River,42.195,-71.013,river,native-name,Braintree/Randolph,MA,"Algonquian name (cf. Cochaticquom, native name for Randolph); exact meaning unclear",Wikipedia (Cochato River; Randolph),1000
Monatiquot River,42.194722,-71.012778,river,native-name,Braintree/Weymouth,MA,Monatiquot = 'at the deep tidal place' or 'lookout place',Wikipedia (Monatiquot River),1500
Nippenicket,41.966944,-71.041111,pond,native-name,Bridgewater,MA,"'Nip Pond', a shallow lake within the Hockomock Swamp",GeoNames,400
Quaboag River,42.202315,-72.079243,river,native-name,Brookfield,MA,Nipmuc 'red-water'; point at the river's outlet from Quaboag Pond,USGS water data gauge 01175745,500
Quaboag Pond,42.18722,-72.06806,pond,native-name,Brookfield/West Brookfield,MA,"Nipmuc, 'red-water place/pond'; source of the Quaboag River",Wikipedia: Quaboag Pond,400
Ponkapoag Pond,42.1925,-71.095,pond,native-name,Canton/Randolph,MA,Ponkapoag = 'spring bubbling from red soil' / shallow pond,Wikipedia (Ponkapoag Pond),400
Winnetuxet River,41.967500,-70.907500,river,native-name,Carver/Halifax,MA,Tributary flowing to the Taunton River,Wikipedia,1000
Monomoy,41.559333,-69.993722,island,native-name,Chatham,MA,Monomoy='lookout place' (Wampanoag); pt at Monomoy Point Light,Wikipedia,800
Hoosic River,42.553889,-73.165556,river,native-name,Cheshire/Adams/North Adams/Williamstown,MA,"Algonquian, 'the stony place' or 'the beyond place'",Wikipedia,2000
Chicopee River,42.1482,-72.6217,river,native-name,Chicopee/Springfield,MA,Algonquian 'violent/raging water'; joins Connecticut River here,Wikipedia,1500
Menemsha Pond,41.338890,-70.773610,pond,native-name,Chilmark,MA,"Channel called Wawitukq, 'winding twisting river' (Wampanoag)",Wikipedia,500
Nashaquitsa Pond,41.326390,-70.768060,pond,native-name,Chilmark,MA,"Wampanoag-derived pond name, part of Menemsha Pond system",Wikipedia,400
Squibnocket Pond,41.317000,-70.783000,pond,native-name,Chilmark/Aquinnah,MA,"Wampanoag, near 'place of dark rocks' (Squibnocket Point)",Wikipedia,500
